,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
0,2023-05-07 18:31:02.856,789,0,0,104,True,1,car,0 days 00:00:01.598000,0 days 00:00:01.598000
1,2023-05-07 18:31:03.216,789,0,0,104,True,1,car,0 days 00:00:01.958000,0 days 00:00:01.958000
2,2023-05-07 18:31:03.416,789,0,0,104,True,1,car,0 days 00:00:02.158000,0 days 00:00:02.158000
3,2023-05-07 18:31:03.696,789,0,0,104,True,1,car,0 days 00:00:02.438000,0 days 00:00:02.438000
4,2023-05-07 18:31:03.896,789,0,0,104,True,1,car,0 days 00:00:02.638000,0 days 00:00:02.638000
5,2023-05-07 18:31:04.256,789,0,0,104,True,1,car,0 days 00:00:02.998000,0 days 00:00:02.998000
6,2023-05-07 18:31:04.496,789,0,0,104,True,1,car,0 days 00:00:03.238000,0 days 00:00:03.238000
7,2023-05-07 18:31:04.656,789,0,0,104,True,1,car,0 days 00:00:03.398000,0 days 00:00:03.398000
8,2023-05-07 18:31:04.976,789,0,0,104,True,1,car,0 days 00:00:03.718000,0 days 00:00:03.718000
9,2023-05-07 18:31:05.336,789,0,0,104,True,1,car,0 days 00:00:04.078000,0 days 00:00:04.078000
10,2023-05-07 18:31:05.576,789,0,0,104,True,1,car,0 days 00:00:04.318000,0 days 00:00:04.318000
11,2023-05-07 18:31:05.736,789,0,0,104,True,1,car,0 days 00:00:04.478000,0 days 00:00:04.478000
12,2023-05-07 18:31:06.176,789,0,0,104,True,1,car,0 days 00:00:04.918000,0 days 00:00:04.918000
13,2023-05-07 18:31:06.335,789,0,0,104,True,1,car,0 days 00:00:05.077000,0 days 00:00:05.077000
14,2023-05-07 18:31:06.615,789,0,0,104,True,1,car,0 days 00:00:05.357000,0 days 00:00:05.357000
15,2023-05-07 18:31:06.815,789,0,0,104,True,1,car,0 days 00:00:05.557000,0 days 00:00:05.557000
16,2023-05-07 18:31:07.015,789,0,0,104,True,1,car,0 days 00:00:05.757000,0 days 00:00:05.757000
17,2023-05-07 18:31:07.255,789,0,0,104,True,1,car,0 days 00:00:05.997000,0 days 00:00:05.997000
18,2023-05-07 18:31:07.456,789,0,0,104,True,1,car,0 days 00:00:06.198000,0 days 00:00:06.198000
19,2023-05-07 18:31:07.656,789,0,0,104,True,1,car,0 days 00:00:06.398000,0 days 00:00:06.398000
20,2023-05-07 18:31:07.856,789,0,0,104,True,1,car,0 days 00:00:06.598000,0 days 00:00:06.598000
