,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 01:03:36.820000,VER,1,0 days 00:01:31.585000,1.0,1.0,,,,0 days 00:00:28.929000,0 days 00:00:30.478000,,0 days 01:03:06.412000,0 days 01:03:36.927000,266.0,258.0,274.0,205.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:04.960000,2023-08-27 13:03:05.334,1,1.0,False,,False,False
1,0 days 01:05:26.792000,VER,1,0 days 00:01:49.972000,2.0,1.0,,0 days 01:05:25.519000,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,0 days 01:04:13.152000,0 days 01:04:49.837000,0 days 01:05:26.794000,211.0,211.0,,207.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:03:36.820000,2023-08-27 13:04:37.194,1,3.0,False,,False,False
2,0 days 01:07:15.450000,VER,1,0 days 00:01:48.658000,3.0,2.0,0 days 01:05:45.581000,,0 days 00:00:49.822000,0 days 00:00:30.905000,0 days 00:00:27.931000,0 days 01:06:16.616000,0 days 01:06:47.521000,0 days 01:07:15.452000,255.0,256.0,286.0,,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:05:26.792000,2023-08-27 13:06:27.166,1,5.0,False,,False,False
3,0 days 01:08:40.701000,VER,1,0 days 00:01:25.251000,4.0,2.0,,,0 days 00:00:29.996000,0 days 00:00:29.479000,0 days 00:00:25.776000,0 days 01:07:45.448000,0 days 01:08:14.927000,0 days 01:08:40.703000,269.0,263.0,293.0,252.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:07:15.450000,2023-08-27 13:08:15.824,1,4.0,False,,False,True
4,0 days 01:10:04.162000,VER,1,0 days 00:01:23.461000,5.0,2.0,,,0 days 00:00:28.478000,0 days 00:00:29.064000,0 days 00:00:25.919000,0 days 01:09:09.181000,0 days 01:09:38.245000,0 days 01:10:04.164000,282.0,260.0,297.0,279.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:08:40.701000,2023-08-27 13:09:41.075,1,4.0,False,,False,True
5,0 days 01:11:26.665000,VER,1,0 days 00:01:22.503000,6.0,2.0,,,0 days 00:00:28.276000,0 days 00:00:28.735000,0 days 00:00:25.492000,0 days 01:10:32.440000,0 days 01:11:01.175000,0 days 01:11:26.667000,280.0,262.0,293.0,296.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 01:10:04.162000,2023-08-27 13:11:04.536,1,3.0,False,,False,True
6,0 days 01:12:48.781000,VER,1,0 days 00:01:22.116000,7.0,2.0,,,0 days 00:00:27.984000,0 days 00:00:28.882000,0 days 00:00:25.250000,0 days 01:11:54.651000,0 days 01:12:23.533000,0 days 01:12:48.783000,278.0,261.0,289.0,284.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 01:11:26.665000,2023-08-27 13:12:27.039,1,2.0,False,,False,True
7,0 days 01:14:12.013000,VER,1,0 days 00:01:23.232000,8.0,2.0,,,0 days 00:00:28.241000,0 days 00:00:29.497000,0 days 00:00:25.494000,0 days 01:13:17.024000,0 days 01:13:46.521000,0 days 01:14:12.015000,280.0,261.0,290.0,281.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 01:12:48.781000,2023-08-27 13:13:49.155,1,2.0,False,,False,True
8,0 days 01:15:35.326000,VER,1,0 days 00:01:23.313000,9.0,2.0,,,0 days 00:00:28.053000,0 days 00:00:29.698000,0 days 00:00:25.562000,0 days 01:14:40.068000,0 days 01:15:09.766000,0 days 01:15:35.328000,279.0,262.0,289.0,,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 01:14:12.013000,2023-08-27 13:15:12.387,1,2.0,False,,False,True
9,0 days 01:16:59.024000,VER,1,0 days 00:01:23.698000,10.0,2.0,,,0 days 00:00:28.262000,0 days 00:00:30.004000,0 days 00:00:25.432000,0 days 01:16:03.590000,0 days 01:16:33.594000,0 days 01:16:59.026000,278.0,261.0,290.0,278.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 01:15:35.326000,2023-08-27 13:16:35.700,1,2.0,False,,False,True
10,0 days 01:18:26.041000,VER,1,0 days 00:01:27.017000,11.0,2.0,,0 days 01:18:24.474000,0 days 00:00:28.285000,0 days 00:00:30.123000,0 days 00:00:28.609000,0 days 01:17:27.311000,0 days 01:17:57.434000,0 days 01:18:26.043000,279.0,262.0,,285.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:16:59.024000,2023-08-27 13:17:59.398,1,2.0,False,,False,False
11,0 days 01:20:04.075000,VER,1,0 days 00:01:38.034000,12.0,3.0,0 days 01:18:43.770000,,0 days 00:00:46.130000,0 days 00:00:27.928000,0 days 00:00:23.976000,0 days 01:19:12.173000,0 days 01:19:40.101000,0 days 01:20:04.077000,281.0,261.0,291.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 01:18:26.041000,2023-08-27 13:19:26.415,1,2.0,False,,False,False
12,0 days 01:21:22.850000,VER,1,0 days 00:01:18.775000,13.0,3.0,,,0 days 00:00:27.130000,0 days 00:00:28.012000,0 days 00:00:23.633000,0 days 01:20:31.207000,0 days 01:20:59.219000,0 days 01:21:22.852000,282.0,262.0,291.0,283.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:20:04.075000,2023-08-27 13:21:04.449,1,1.0,False,,False,True
13,0 days 01:22:40.400000,VER,1,0 days 00:01:17.550000,14.0,3.0,,,0 days 00:00:26.683000,0 days 00:00:27.606000,0 days 00:00:23.261000,0 days 01:21:49.535000,0 days 01:22:17.141000,0 days 01:22:40.402000,283.0,263.0,292.0,274.0,True,SOFT,3.0,True,Red Bull Racing,0 days 01:21:22.850000,2023-08-27 13:22:23.224,1,1.0,False,,False,True
14,0 days 01:23:57.330000,VER,1,0 days 00:01:16.930000,15.0,3.0,,,0 days 00:00:26.612000,0 days 00:00:27.153000,0 days 00:00:23.165000,0 days 01:23:07.014000,0 days 01:23:34.167000,0 days 01:23:57.332000,,263.0,292.0,289.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:22:40.400000,2023-08-27 13:23:40.774,1,1.0,False,,False,True
15,0 days 01:25:24.245000,VER,1,0 days 00:01:26.915000,16.0,3.0,,,0 days 00:00:26.101000,0 days 00:00:28.078000,0 days 00:00:32.736000,0 days 01:24:23.433000,0 days 01:24:51.511000,0 days 01:25:24.247000,,261.0,172.0,,False,SOFT,5.0,True,Red Bull Racing,0 days 01:23:57.330000,2023-08-27 13:24:57.704,24,1.0,False,,False,False
16,0 days 01:27:26.462000,VER,1,0 days 00:02:02.217000,17.0,3.0,,,0 days 00:00:39.497000,0 days 00:00:45.949000,0 days 00:00:36.771000,0 days 01:26:03.744000,0 days 01:26:49.693000,0 days 01:27:26.464000,126.0,144.0,215.0,209.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:25:24.245000,2023-08-27 13:26:24.619,4,1.0,False,,False,False
17,0 days 01:29:34.777000,VER,1,0 days 00:02:08.315000,18.0,3.0,,,0 days 00:00:44.318000,0 days 00:00:45.019000,0 days 00:00:38.978000,0 days 01:28:10.782000,0 days 01:28:55.801000,0 days 01:29:34.779000,116.0,139.0,163.0,198.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:27:26.462000,2023-08-27 13:28:26.836,4,1.0,False,,False,False
18,0 days 01:31:34.622000,VER,1,0 days 00:01:59.845000,19.0,3.0,,,0 days 00:00:42.928000,0 days 00:00:42.767000,0 days 00:00:34.150000,0 days 01:30:17.707000,0 days 01:31:00.474000,0 days 01:31:34.624000,168.0,241.0,209.0,116.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:29:34.777000,2023-08-27 13:30:35.151,4,1.0,False,,False,False
19,0 days 01:33:29.879000,VER,1,0 days 00:01:55.257000,20.0,3.0,,,0 days 00:00:38.697000,0 days 00:00:42.228000,0 days 00:00:34.332000,0 days 01:32:13.321000,0 days 01:32:55.549000,0 days 01:33:29.881000,156.0,200.0,239.0,231.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:31:34.622000,2023-08-27 13:32:34.996,4,1.0,False,,False,False
20,0 days 01:35:37.501000,VER,1,0 days 00:02:07.622000,21.0,3.0,,,0 days 00:00:38.697000,0 days 00:00:41.054000,0 days 00:00:47.871000,,0 days 01:34:49.632000,0 days 01:35:37.503000,166.0,129.0,290.0,202.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:33:29.879000,2023-08-27 13:34:30.253,4,1.0,False,,False,False
21,0 days 01:36:53.806000,VER,1,0 days 00:01:16.305000,22.0,3.0,,,0 days 00:00:26.240000,0 days 00:00:26.831000,0 days 00:00:23.234000,0 days 01:36:03.743000,0 days 01:36:30.574000,0 days 01:36:53.808000,282.0,259.0,290.0,291.0,True,SOFT,11.0,True,Red Bull Racing,0 days 01:35:37.501000,2023-08-27 13:36:37.875,1,1.0,False,,False,False
22,0 days 01:38:09.891000,VER,1,0 days 00:01:16.085000,23.0,3.0,,,0 days 00:00:26.184000,0 days 00:00:26.911000,0 days 00:00:22.990000,0 days 01:37:19.992000,0 days 01:37:46.903000,0 days 01:38:09.893000,283.0,260.0,291.0,288.0,True,SOFT,12.0,True,Red Bull Racing,0 days 01:36:53.806000,2023-08-27 13:37:54.180,1,1.0,False,,False,True
23,0 days 01:39:25.674000,VER,1,0 days 00:01:15.783000,24.0,3.0,,,0 days 00:00:26.068000,0 days 00:00:26.783000,0 days 00:00:22.932000,0 days 01:38:35.961000,0 days 01:39:02.744000,0 days 01:39:25.676000,282.0,261.0,291.0,287.0,True,SOFT,13.0,True,Red Bull Racing,0 days 01:38:09.891000,2023-08-27 13:39:10.265,1,1.0,False,,False,True
24,0 days 01:40:41.338000,VER,1,0 days 00:01:15.664000,25.0,3.0,,,0 days 00:00:25.953000,0 days 00:00:26.720000,0 days 00:00:22.991000,0 days 01:39:51.629000,0 days 01:40:18.349000,0 days 01:40:41.340000,283.0,261.0,292.0,288.0,True,SOFT,14.0,True,Red Bull Racing,0 days 01:39:25.674000,2023-08-27 13:40:26.048,1,1.0,False,,False,True
25,0 days 01:41:56.997000,VER,1,0 days 00:01:15.659000,26.0,3.0,,,0 days 00:00:25.976000,0 days 00:00:26.794000,0 days 00:00:22.889000,0 days 01:41:07.316000,0 days 01:41:34.110000,0 days 01:41:56.999000,,261.0,292.0,290.0,True,SOFT,15.0,True,Red Bull Racing,0 days 01:40:41.338000,2023-08-27 13:41:41.712,1,1.0,False,,False,True
26,0 days 01:43:12.678000,VER,1,0 days 00:01:15.681000,27.0,3.0,,,0 days 00:00:25.834000,0 days 00:00:26.936000,0 days 00:00:22.911000,0 days 01:42:22.833000,0 days 01:42:49.769000,0 days 01:43:12.680000,284.0,261.0,292.0,,False,SOFT,16.0,True,Red Bull Racing,0 days 01:41:56.997000,2023-08-27 13:42:57.371,1,1.0,False,,False,True
27,0 days 01:44:28.177000,VER,1,0 days 00:01:15.499000,28.0,3.0,,,0 days 00:00:25.921000,0 days 00:00:26.759000,0 days 00:00:22.819000,0 days 01:43:38.601000,0 days 01:44:05.360000,0 days 01:44:28.179000,283.0,261.0,292.0,,True,SOFT,17.0,True,Red Bull Racing,0 days 01:43:12.678000,2023-08-27 13:44:13.052,1,1.0,False,,False,True
28,0 days 01:45:43.551000,VER,1,0 days 00:01:15.374000,29.0,3.0,,,0 days 00:00:25.825000,0 days 00:00:26.797000,0 days 00:00:22.752000,0 days 01:44:54.004000,0 days 01:45:20.801000,0 days 01:45:43.553000,,261.0,292.0,,True,SOFT,18.0,True,Red Bull Racing,0 days 01:44:28.177000,2023-08-27 13:45:28.551,1,1.0,False,,False,True
29,0 days 01:46:59.061000,VER,1,0 days 00:01:15.510000,30.0,3.0,,,0 days 00:00:25.837000,0 days 00:00:26.867000,0 days 00:00:22.806000,0 days 01:46:09.390000,0 days 01:46:36.257000,0 days 01:46:59.063000,,261.0,292.0,,False,SOFT,19.0,True,Red Bull Racing,0 days 01:45:43.551000,2023-08-27 13:46:43.925,1,1.0,False,,False,True
30,0 days 01:48:14.622000,VER,1,0 days 00:01:15.561000,31.0,3.0,,,0 days 00:00:25.910000,0 days 00:00:26.827000,0 days 00:00:22.824000,0 days 01:47:24.973000,0 days 01:47:51.800000,0 days 01:48:14.624000,,261.0,292.0,,False,SOFT,20.0,True,Red Bull Racing,0 days 01:46:59.061000,2023-08-27 13:47:59.435,1,1.0,False,,False,True
31,0 days 01:49:30.036000,VER,1,0 days 00:01:15.414000,32.0,3.0,,,0 days 00:00:25.772000,0 days 00:00:26.884000,0 days 00:00:22.758000,0 days 01:48:40.396000,0 days 01:49:07.280000,0 days 01:49:30.038000,,260.0,292.0,289.0,False,SOFT,21.0,True,Red Bull Racing,0 days 01:48:14.622000,2023-08-27 13:49:14.996,1,1.0,False,,False,True
32,0 days 01:50:45.378000,VER,1,0 days 00:01:15.342000,33.0,3.0,,,0 days 00:00:25.748000,0 days 00:00:26.728000,0 days 00:00:22.866000,0 days 01:49:55.786000,0 days 01:50:22.514000,0 days 01:50:45.380000,284.0,261.0,293.0,290.0,True,SOFT,22.0,True,Red Bull Racing,0 days 01:49:30.036000,2023-08-27 13:50:30.410,1,1.0,False,,False,True
33,0 days 01:52:00.650000,VER,1,0 days 00:01:15.272000,34.0,3.0,,,0 days 00:00:25.780000,0 days 00:00:26.751000,0 days 00:00:22.741000,0 days 01:51:11.160000,0 days 01:51:37.911000,0 days 01:52:00.652000,,262.0,293.0,293.0,True,SOFT,23.0,True,Red Bull Racing,0 days 01:50:45.378000,2023-08-27 13:51:45.752,1,1.0,False,,False,True
34,0 days 01:53:15.925000,VER,1,0 days 00:01:15.275000,35.0,3.0,,,0 days 00:00:25.810000,0 days 00:00:26.761000,0 days 00:00:22.704000,0 days 01:52:26.462000,0 days 01:52:53.223000,0 days 01:53:15.927000,285.0,262.0,293.0,299.0,False,SOFT,24.0,True,Red Bull Racing,0 days 01:52:00.650000,2023-08-27 13:53:01.024,1,1.0,False,,False,True
35,0 days 01:54:31.146000,VER,1,0 days 00:01:15.221000,36.0,3.0,,,0 days 00:00:25.855000,0 days 00:00:26.727000,0 days 00:00:22.639000,0 days 01:53:41.782000,0 days 01:54:08.509000,0 days 01:54:31.148000,284.0,262.0,293.0,300.0,True,SOFT,25.0,True,Red Bull Racing,0 days 01:53:15.925000,2023-08-27 13:54:16.299,1,1.0,False,,False,True
36,0 days 01:55:46.313000,VER,1,0 days 00:01:15.167000,37.0,3.0,,,0 days 00:00:25.712000,0 days 00:00:26.693000,0 days 00:00:22.762000,0 days 01:54:56.860000,0 days 01:55:23.553000,0 days 01:55:46.315000,283.0,261.0,293.0,,True,SOFT,26.0,True,Red Bull Racing,0 days 01:54:31.146000,2023-08-27 13:55:31.520,1,1.0,False,,False,True
37,0 days 01:57:01.384000,VER,1,0 days 00:01:15.071000,38.0,3.0,,,0 days 00:00:25.733000,0 days 00:00:26.749000,0 days 00:00:22.589000,0 days 01:56:12.048000,0 days 01:56:38.797000,0 days 01:57:01.386000,,263.0,293.0,293.0,True,SOFT,27.0,True,Red Bull Racing,0 days 01:55:46.313000,2023-08-27 13:56:46.687,1,1.0,False,,False,True
38,0 days 01:58:16.577000,VER,1,0 days 00:01:15.193000,39.0,3.0,,,0 days 00:00:25.742000,0 days 00:00:26.690000,0 days 00:00:22.761000,0 days 01:57:27.128000,0 days 01:57:53.818000,0 days 01:58:16.579000,284.0,262.0,293.0,297.0,False,SOFT,28.0,True,Red Bull Racing,0 days 01:57:01.384000,2023-08-27 13:58:01.758,1,1.0,False,,False,True
39,0 days 01:59:31.709000,VER,1,0 days 00:01:15.132000,40.0,3.0,,,0 days 00:00:25.770000,0 days 00:00:26.752000,0 days 00:00:22.610000,0 days 01:58:42.349000,0 days 01:59:09.101000,0 days 01:59:31.711000,285.0,262.0,293.0,298.0,False,SOFT,29.0,True,Red Bull Racing,0 days 01:58:16.577000,2023-08-27 13:59:16.951,1,1.0,False,,False,True
40,0 days 02:00:47.015000,VER,1,0 days 00:01:15.306000,41.0,3.0,,,0 days 00:00:25.825000,0 days 00:00:26.774000,0 days 00:00:22.707000,0 days 01:59:57.536000,0 days 02:00:24.310000,0 days 02:00:47.017000,,263.0,294.0,293.0,False,SOFT,30.0,True,Red Bull Racing,0 days 01:59:31.709000,2023-08-27 14:00:32.083,1,1.0,False,,False,True
41,0 days 02:02:02.348000,VER,1,0 days 00:01:15.333000,42.0,3.0,,,0 days 00:00:25.766000,0 days 00:00:26.930000,0 days 00:00:22.637000,0 days 02:01:12.783000,0 days 02:01:39.713000,0 days 02:02:02.350000,,264.0,293.0,291.0,False,SOFT,31.0,True,Red Bull Racing,0 days 02:00:47.015000,2023-08-27 14:01:47.389,1,1.0,False,,False,True
42,0 days 02:03:17.714000,VER,1,0 days 00:01:15.366000,43.0,3.0,,,0 days 00:00:25.733000,0 days 00:00:26.920000,0 days 00:00:22.713000,0 days 02:02:28.083000,0 days 02:02:55.003000,0 days 02:03:17.716000,286.0,263.0,294.0,295.0,False,SOFT,32.0,True,Red Bull Racing,0 days 02:02:02.348000,2023-08-27 14:03:02.722,1,1.0,False,,False,True
43,0 days 02:04:33.307000,VER,1,0 days 00:01:15.593000,44.0,3.0,,,0 days 00:00:25.944000,0 days 00:00:26.885000,0 days 00:00:22.764000,0 days 02:03:43.660000,0 days 02:04:10.545000,0 days 02:04:33.309000,,263.0,295.0,292.0,False,SOFT,33.0,True,Red Bull Racing,0 days 02:03:17.714000,2023-08-27 14:04:18.088,1,1.0,False,,False,True
44,0 days 02:05:48.866000,VER,1,0 days 00:01:15.559000,45.0,3.0,,,0 days 00:00:25.775000,0 days 00:00:27.065000,0 days 00:00:22.719000,0 days 02:04:59.084000,0 days 02:05:26.149000,0 days 02:05:48.868000,284.0,264.0,296.0,,False,SOFT,34.0,True,Red Bull Racing,0 days 02:04:33.307000,2023-08-27 14:05:33.681,1,1.0,False,,False,True
45,0 days 02:07:04.376000,VER,1,0 days 00:01:15.510000,46.0,3.0,,,0 days 00:00:25.839000,0 days 00:00:26.920000,0 days 00:00:22.751000,0 days 02:06:14.707000,0 days 02:06:41.627000,0 days 02:07:04.378000,285.0,263.0,295.0,297.0,False,SOFT,35.0,True,Red Bull Racing,0 days 02:05:48.866000,2023-08-27 14:06:49.240,1,1.0,False,,False,True
46,0 days 02:08:19.951000,VER,1,0 days 00:01:15.575000,47.0,3.0,,,0 days 00:00:25.748000,0 days 00:00:27.099000,0 days 00:00:22.728000,0 days 02:07:30.126000,0 days 02:07:57.225000,0 days 02:08:19.953000,286.0,263.0,297.0,,False,SOFT,36.0,True,Red Bull Racing,0 days 02:07:04.376000,2023-08-27 14:08:04.750,1,1.0,False,,False,True
47,0 days 02:09:35.359000,VER,1,0 days 00:01:15.408000,48.0,3.0,,,0 days 00:00:25.836000,0 days 00:00:26.840000,0 days 00:00:22.732000,0 days 02:08:45.789000,0 days 02:09:12.629000,0 days 02:09:35.361000,,262.0,296.0,302.0,False,SOFT,37.0,True,Red Bull Racing,0 days 02:08:19.951000,2023-08-27 14:09:20.325,1,1.0,False,,False,True
48,0 days 02:10:53.890000,VER,1,0 days 00:01:18.531000,49.0,3.0,,0 days 02:10:52.324000,0 days 00:00:25.737000,0 days 00:00:27.011000,0 days 00:00:25.783000,0 days 02:10:01.098000,0 days 02:10:28.109000,0 days 02:10:53.892000,,262.0,,298.0,False,SOFT,38.0,True,Red Bull Racing,0 days 02:09:35.359000,2023-08-27 14:10:35.733,1,1.0,False,,False,False
49,0 days 02:12:25.894000,VER,1,0 days 00:01:32.004000,50.0,4.0,0 days 02:11:11.011000,,0 days 00:00:43.637000,0 days 00:00:26.073000,0 days 00:00:22.294000,0 days 02:11:37.529000,0 days 02:12:03.602000,0 days 02:12:25.896000,285.0,264.0,295.0,,False,SOFT,2.0,False,Red Bull Racing,0 days 02:10:53.890000,2023-08-27 14:11:54.264,1,1.0,False,,False,False
50,0 days 02:13:39.835000,VER,1,0 days 00:01:13.941000,51.0,4.0,,,0 days 00:00:25.659000,0 days 00:00:25.954000,0 days 00:00:22.328000,0 days 02:12:51.555000,0 days 02:13:17.509000,0 days 02:13:39.837000,,265.0,295.0,291.0,True,SOFT,3.0,False,Red Bull Racing,0 days 02:12:25.894000,2023-08-27 14:13:26.268,1,1.0,False,,False,True
51,0 days 02:14:54.117000,VER,1,0 days 00:01:14.282000,52.0,4.0,,,0 days 00:00:25.659000,0 days 00:00:26.141000,0 days 00:00:22.482000,,0 days 02:14:31.637000,0 days 02:14:54.119000,286.0,264.0,295.0,290.0,False,SOFT,4.0,False,Red Bull Racing,0 days 02:13:39.835000,2023-08-27 14:14:40.209,1,1.0,False,,False,True
52,0 days 02:16:08.389000,VER,1,0 days 00:01:14.272000,53.0,4.0,,,0 days 00:00:25.601000,0 days 00:00:26.166000,0 days 00:00:22.505000,0 days 02:15:19.720000,0 days 02:15:45.886000,0 days 02:16:08.391000,287.0,264.0,295.0,293.0,False,SOFT,5.0,False,Red Bull Racing,0 days 02:14:54.117000,2023-08-27 14:15:54.491,1,1.0,False,,False,True
53,0 days 02:17:22.645000,VER,1,0 days 00:01:14.256000,54.0,4.0,,,0 days 00:00:25.540000,0 days 00:00:26.334000,0 days 00:00:22.382000,0 days 02:16:33.931000,0 days 02:17:00.265000,0 days 02:17:22.647000,,264.0,296.0,291.0,False,SOFT,6.0,False,Red Bull Racing,0 days 02:16:08.389000,2023-08-27 14:17:08.763,1,1.0,False,,False,True
54,0 days 02:18:37.060000,VER,1,0 days 00:01:14.415000,55.0,4.0,,,0 days 00:00:25.593000,0 days 00:00:26.415000,0 days 00:00:22.407000,0 days 02:17:48.240000,0 days 02:18:14.655000,0 days 02:18:37.062000,286.0,263.0,296.0,295.0,False,SOFT,7.0,False,Red Bull Racing,0 days 02:17:22.645000,2023-08-27 14:18:23.019,1,1.0,False,,False,True
55,0 days 02:19:51.470000,VER,1,0 days 00:01:14.410000,56.0,4.0,,,0 days 00:00:25.549000,0 days 00:00:26.332000,0 days 00:00:22.529000,0 days 02:19:02.611000,0 days 02:19:28.943000,0 days 02:19:51.472000,,265.0,296.0,303.0,False,SOFT,8.0,False,Red Bull Racing,0 days 02:18:37.060000,2023-08-27 14:19:37.434,1,1.0,False,,False,True
56,0 days 02:21:05.566000,VER,1,0 days 00:01:14.096000,57.0,4.0,,,0 days 00:00:25.590000,0 days 00:00:26.093000,0 days 00:00:22.413000,0 days 02:20:17.062000,0 days 02:20:43.155000,0 days 02:21:05.568000,288.0,263.0,296.0,302.0,False,SOFT,9.0,False,Red Bull Racing,0 days 02:19:51.470000,2023-08-27 14:20:51.844,1,1.0,False,,False,True
57,0 days 02:22:19.455000,VER,1,0 days 00:01:13.889000,58.0,4.0,,,0 days 00:00:25.495000,0 days 00:00:26.078000,0 days 00:00:22.316000,0 days 02:21:31.063000,0 days 02:21:57.141000,0 days 02:22:19.457000,,266.0,297.0,303.0,True,SOFT,10.0,False,Red Bull Racing,0 days 02:21:05.566000,2023-08-27 14:22:05.940,1,1.0,False,,False,True
58,0 days 02:23:33.398000,VER,1,0 days 00:01:13.943000,59.0,4.0,,,0 days 00:00:25.379000,0 days 00:00:26.248000,0 days 00:00:22.316000,0 days 02:22:44.836000,0 days 02:23:11.084000,0 days 02:23:33.400000,,266.0,298.0,305.0,False,SOFT,11.0,False,Red Bull Racing,0 days 02:22:19.455000,2023-08-27 14:23:19.829,1,1.0,False,,False,True
59,0 days 02:24:47.900000,VER,1,0 days 00:01:14.502000,60.0,4.0,,,0 days 00:00:25.523000,0 days 00:00:26.410000,0 days 00:00:22.569000,0 days 02:23:58.923000,0 days 02:24:25.333000,0 days 02:24:47.902000,289.0,266.0,296.0,,False,SOFT,12.0,False,Red Bull Racing,0 days 02:23:33.398000,2023-08-27 14:24:33.772,1,1.0,False,,False,True
60,0 days 02:26:12.582000,VER,1,0 days 00:01:24.682000,61.0,4.0,,0 days 02:26:11.027000,0 days 00:00:25.955000,0 days 00:00:26.345000,0 days 00:00:32.382000,0 days 02:25:13.857000,0 days 02:25:40.202000,0 days 02:26:12.584000,286.0,264.0,,292.0,False,SOFT,13.0,False,Red Bull Racing,0 days 02:24:47.900000,2023-08-27 14:25:48.274,1,1.0,False,,False,False
61,0 days 02:27:55.532000,VER,1,0 days 00:01:42.950000,62.0,5.0,0 days 02:26:30.432000,,0 days 00:00:48.912000,0 days 00:00:28.855000,0 days 00:00:25.183000,0 days 02:27:01.496000,0 days 02:27:30.351000,0 days 02:27:55.534000,276.0,262.0,292.0,,False,INTERMEDIATE,13.0,False,Red Bull Racing,0 days 02:26:12.582000,2023-08-27 14:27:12.956,1,1.0,False,,False,False
62,0 days 02:29:28.100000,VER,1,0 days 00:01:32.568000,63.0,5.0,,0 days 02:29:26.523000,0 days 00:00:31.176000,0 days 00:00:29.425000,0 days 00:00:31.967000,0 days 02:28:26.710000,0 days 02:28:56.135000,0 days 02:29:28.102000,268.0,247.0,,229.0,False,INTERMEDIATE,14.0,False,Red Bull Racing,0 days 02:27:55.532000,2023-08-27 14:28:55.906,2,1.0,False,,False,False
63,0 days 02:31:53.116000,VER,1,0 days 00:02:25.016000,64.0,6.0,0 days 02:29:46.945000,0 days 02:31:50.880000,0 days 00:01:00.299000,0 days 00:00:41.195000,0 days 00:00:43.522000,0 days 02:30:28.401000,0 days 02:31:09.596000,0 days 02:31:53.118000,171.0,177.0,,,False,WET,1.0,True,Red Bull Racing,0 days 02:29:28.100000,2023-08-27 14:30:28.474,265,1.0,False,,False,False
64,0 days 03:15:38.719000,VER,1,,65.0,7.0,0 days 03:13:14.195000,,,0 days 00:00:49.067000,0 days 00:00:40.051000,,0 days 03:14:58.678000,0 days 03:15:38.817000,134.0,147.0,186.0,,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 03:12:59.758000,2023-08-27 15:14:00.132,4,1.0,False,,False,False
65,0 days 03:17:56.742000,VER,1,0 days 00:02:18.023000,66.0,7.0,,,0 days 00:00:45.236000,0 days 00:00:46.198000,0 days 00:00:46.589000,0 days 03:16:23.957000,0 days 03:17:10.155000,0 days 03:17:56.744000,169.0,160.0,285.0,150.0,False,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 03:15:38.719000,2023-08-27 15:16:39.093,4,1.0,False,,False,False
66,0 days 03:19:22.278000,VER,1,0 days 00:01:25.536000,67.0,7.0,,,0 days 00:00:29.500000,0 days 00:00:29.893000,0 days 00:00:26.143000,0 days 03:18:26.244000,0 days 03:18:56.137000,0 days 03:19:22.280000,270.0,258.0,287.0,246.0,False,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 03:17:56.742000,2023-08-27 15:18:57.116,1,1.0,False,,False,False
67,0 days 03:20:45.145000,VER,1,0 days 00:01:22.867000,68.0,7.0,,,0 days 00:00:28.747000,0 days 00:00:28.429000,0 days 00:00:25.691000,0 days 03:19:51.027000,0 days 03:20:19.456000,0 days 03:20:45.147000,281.0,261.0,288.0,260.0,False,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 03:19:22.278000,2023-08-27 15:20:22.652,1,1.0,False,,False,True
